what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352649639270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352649641584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1352649646926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352649658661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352649661243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352649674297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352649689541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352649693362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1352649696796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352649706465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352649709913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352649712549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352649716346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352649814353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1352649824993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1352649825594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1352649825826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1352649826142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352649837235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352649843398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352649845391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352649847468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352649854987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352649856788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352649859980
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1352649862121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352649870063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1352649895460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352649911716
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1352649913135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352649914213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352649914345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352649915314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1352649923275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1352649924349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352649926143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352649932548
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352649935625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352649942284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352649960733
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1352649963873
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352649964108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1352649973556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352649974494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352650053170
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352650064282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1352650070489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1352650071102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1352650071298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352650075955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1352650085148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352650096607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352650100135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352650102129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352650109220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352650111013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352650111380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352650113716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352650133076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352650135283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352650137660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352650140994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352650143319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352650150975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352650154246
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1352650154985
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352650155151
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352650165881
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1352650166877
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352650167431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352650185207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352650189053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352650197303
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352650198532
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352650200145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352650205461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352650207941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352650212056
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352650215544
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1352650216656
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352650216804
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1352650219023
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352650219178
